publisher,genres,price,developer,release_date
Big Ant Studios,"['Casual', 'Indie', 'Sports']",9.99,Big Ant Studios,2015-02-25
Paradox Interactive,"['Simulation', 'Strategy']",14.99,Paradox Development Studio,2015-02-26
Anvate Games,"['Adventure', 'Casual']",2.99,Anvate Games,2015-02-26
Artifex Mundi,"['Adventure', 'Casual']",9.99,Artifex Mundi,2014-10-06
BulkyPix,['Action'],4.99,Hyde Games,2015-02-26
Buka Entertainment,"['Casual', 'Simulation', 'Strategy']",6.99,"Alawar Entertainment,Toyman Interactive",2013-04-07
Ghostlight LTD,"['Adventure', 'RPG', 'Strategy']",6.99,Idea Factory,2015-02-26
BANDAI NAMCO Entertainment,['Action'],39.99,DIMPS,2015-02-26
"KOEI TECMO GAMES CO., LTD.",['Action'],49.99,"KOEI TECMO GAMES CO., LTD.",2015-02-26
"KOEI TECMO GAMES CO., LTD.",['Action'],9.99,"KOEI TECMO GAMES CO., LTD.",2015-02-26
Sierra,"['Action', 'Adventure']",14.99,Rock Pocket Games,2015-03-03
Activision,['Action'],14.99,"Sledgehammer Games,Raven Software",2015-03-03
Activision,['Adventure'],14.99,OSome Studio,2015-03-03
Chris McFarland,"['Action', 'Indie']",3.99,Chris McFarland,2015-03-03
Antiproto,"['Indie', 'Early Access']",9.99,Antiproto,2015-03-03
Laylio Games,"['Adventure', 'Casual', 'Indie', 'RPG']",0.99,"Yohan Launay,Frederic Gaillard",2015-03-03
GameUS Inc.,"['Action', 'Casual', 'Free to Play', 'RPG', 'Simulation', 'Strategy']",139.92,GameUS Inc.,2015-03-03
Capcom,"['Action', 'Adventure']",5.99,Capcom,2015-03-03
Clarus Victoria,"['Indie', 'Simulation', 'Strategy']",5.99,Clarus Victoria,2015-03-04
Asmodee Digital,"['Indie', 'RPG', 'Strategy']",1.99,Nomad Games,2015-03-06
C63 Industries,"['Action', 'Indie', 'Strategy', 'Early Access']",9.99,C63 Industries,2015-03-06
C63 Industries,['Indie'],4.29,SynthR,2015-03-06
Nyu Media,"['Action', 'Indie']",4.99,ASTRO PORT,2015-03-06
TopWare Interactive,['RPG'],6.99,Primal,2004-03-10
11 bit studios,"['Adventure', 'Indie', 'Simulation']",0.99,11 bit studios,2015-03-09
Might and Delight,"['Adventure', 'Casual', 'Indie']",14.99,Might and Delight,2015-03-09
Jetdogs Studios,"['Adventure', 'Casual', 'Indie']",4.99,"Jetdogs Studios,Fineway Studios",2015-03-09
MumboJumbo,"['Adventure', 'Casual']",9.99,MagicIndie,2015-03-09
Deco Digital,"['Adventure', 'Indie']",5.99,"Deco Digital,Bevel Studios,Yakobo",2015-03-09
Ubisoft,"['Action', 'Adventure']",0.99,"Ubisoft Sofia,Ubisoft Kiev",2015-03-09
Kunos Simulazioni,"['Indie', 'Racing', 'Simulation', 'Sports']",9.99,Kunos Simulazioni,2015-03-11
Cherry Co. Studios,"['Adventure', 'Indie', 'RPG']",4.99,Cherry Co. Studios,2015-03-10
Ubisoft,"['Action', 'Adventure']",1.99,"Ubisoft Sofia,Ubisoft Kiev",2015-03-09
Tin Man Games,"['Adventure', 'Indie', 'RPG']",4.99,Tin Man Games,2015-03-11
Tonguç Bodur,"['Adventure', 'Casual', 'Indie']",2.99,Tonguç Bodur,2015-03-12
Dovetail Games - Trains,['Simulation'],19.99,Dovetail Games,2015-03-12
Camshaft Software,"['Simulation', 'Strategy', 'Early Access']",29.99,Camshaft Software,2015-03-12
2K,['Strategy'],14.99,Firaxis Games,2015-03-12
Plug In Digital,['Strategy'],9.99,G-OLD,2015-03-12
Activision,['Action'],3.99,"Sledgehammer Games,Raven Software",2015-03-12
Dovetail Games - Flight,['Simulation'],24.99,Carenado,2015-03-17
Ghostlight LTD,"['Adventure', 'RPG', 'Strategy']",8.99,Idea Factory,2015-03-13
InvertMouse,"['Adventure', 'Indie']",2.99,InvertMouse,2015-03-17
Cornfox &amp; Bros.,"['Action', 'Adventure', 'Indie', 'RPG']",14.99,Cornfox &amp; Bros.,2015-03-17
Strategy First,"['Action', 'Casual', 'Indie']",9.99,Five Archers Games,2015-03-17
Rebellion,"['Action', 'Adventure', 'Indie']",9.99,GRIN,2015-03-17
Tom Johnson,"['Indie', 'RPG', 'Strategy']",14.99,Tom Johnson,2015-03-17
Strategy First,"['Adventure', 'Indie', 'RPG']",9.99,Point2Point Entertainment,2015-03-17
Red Splat Games,['Indie'],1.99,David Mulder,2015-03-17
Capcom,"['Action', 'Adventure']",1.99,Capcom Vancouver,2015-03-17
None,['Indie'],3.99,Pixeljam,2015-03-24
Steam Greenlight,"['Action', 'Free to Play', 'RPG']",Free Mod,Ascension Entertainment LLC,2008-01-18
Headup Games,"['Action', 'Indie', 'RPG']",9.99,Bigmoon Studios,2015-03-20
"Maxwolf, Fox","['Action', 'Adventure', 'Indie']",7.99,"Maxwolf,Fox",2009-12-09
Aldorlea Games,"['Adventure', 'Indie', 'RPG']",3.99,Aldorlea Games,2015-03-20
Aerosoft GmbH,['Simulation'],19.99,TML-Studios,2015-03-23
SCS Software,"['Indie', 'Simulation']",0.99,SCS Software,2015-03-23
Jetdogs Studios,"['Casual', 'Strategy']",2.99,"Jetdogs Studios,Zoom Out Games",2015-03-23
Millenium Project Enterprises,"['Action', 'Free to Play', 'Indie']",Free to Play,Millenium Project Enterprises,2001-04-01
Neomex-Games,"['Action', 'Casual', 'Indie']",6.99,Aleksander Ciesielski,2015-03-26
Substantial,"['Action', 'Indie']",3.99,Substantial,2015-03-23
Axis Game Factory LLC,"['Animation &amp; Modeling', 'Design &amp; Illustration', 'Education', 'Software Training', 'Utilities']",29.99,Axis Game Factory LLC,2015-03-23
Dahlenburg,['Simulation'],9.99,Robert Dahlenburg,2015-03-24
Microids Indie,['Simulation'],4.99,CCCP,2014-02-28
SEGA,['Strategy'],7.99,Creative Assembly,2015-03-25
Focus Home Interactive,['Strategy'],9.99,Tindalos Interactive,2015-03-25
Stardock Entertainment,"['Simulation', 'Strategy']",9.99,Stardock Entertainment,2001-07-14
"Hammerware, s.r.o.","['Racing', 'Simulation']",4.99,"Hammerware, s.r.o.",2015-03-25
KishMish Games,"['Action', 'Adventure', 'Indie']",0.99,Talentplace,2015-03-25
Kiritsu Games,"['Indie', 'Strategy']",7.99,Kiritsu Games,2015-03-25
Three Flip Studios,"['Indie', 'Simulation', 'Strategy']",4.99,Rob Howland,2015-03-25
Hydezeke,"['Adventure', 'RPG', 'Strategy', 'Early Access']",9.99,Hydezeke,2015-03-25
"Black Chicken Studios, inc.","['Casual', 'Indie', 'RPG', 'Simulation']",24.99,"Black Chicken Studios, inc.",2015-03-26
Dovetail Games - Trains,['Simulation'],19.99,Dovetail Games,2015-03-26
Ripstone,"['Indie', 'RPG', 'Strategy']",14.99,Dreadbit,2015-03-26
Nightdive Studios,"['Action', 'Adventure', 'Indie']",9.99,"Good Morning, Commander",2015-03-26
Buka Entertainment,"['Casual', 'Strategy']",6.99,Alawar Entertainment,2014-09-18
Capcom,"['Action', 'Adventure']",14.99,Capcom,2015-03-26
Trion Worlds,"['Free to Play', 'Massively Multiplayer', 'RPG']",Free to Play,XLGAMES,2015-03-26
Kalypso Media Digital,"['RPG', 'Simulation', 'Strategy']",3.99,Haemimont Games,2015-03-26
Artifex Mundi,"['Adventure', 'Casual']",9.99,Artifex Mundi,2014-09-27
Zeiva Inc,"['Adventure', 'Casual', 'Indie']",4.99,Zeiva Inc,2014-09-16
Ghostlight LTD,"['Adventure', 'RPG', 'Strategy']",6.99,Idea Factory,2015-03-26
"Case in Point Studios, LLC","['Simulation', 'Strategy']",5.99,"Case in Point Studios, LLC",2015-03-26
Renegade Sector Games,"['Action', 'Indie']",3.99,Renegade Sector Games,2012-10-25
THQ Nordic,"['Adventure', 'Indie']",14.99,House of Tales,2005-03-01
AGM PLAYISM,"['Adventure', 'Indie']",11.99,Kidalang,2015-03-27
KISS ltd,"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']",9.99,DL Softworks,2015-03-27
Nyu Media,['Utilities'],14.99,STRIKEWORKS,2015-03-27
Milestone S.r.l.,"['Racing', 'Simulation', 'Sports']",39.99,Milestone S.r.l.,2015-03-27
KISS ltd,"['Action', 'Adventure', 'Indie', 'RPG']",4.99,Rail Slave Games,2015-03-27
Age of Fear,"['Indie', 'RPG', 'Strategy']",19.99,Leslaw Sliwko,2015-03-27
Blind Mind Studios,"['Indie', 'Strategy']",24.99,"Blind Mind Studios,Glacicle",2015-03-27
Green Man Gaming Publishing,"['Action', 'Indie']",9.99,Burnt Fuse,2015-03-27
Glass Bottom Games,"['Casual', 'Indie']",4.99,Glass Bottom Games,2013-03-08
Glass Bottom Games,"['Action', 'Casual', 'Indie', 'Racing']",2.99,Glass Bottom Games,2013-03-14
Degica,"['Casual', 'RPG']",4.99,Dancing Dragon Games,2015-03-27
Kittehface Software,"['Casual', 'Indie', 'Strategy']",1.99,Kittehface Software,2015-02-03
Milestone S.r.l.,"['Racing', 'Simulation', 'Sports']",3.99,Milestone S.r.l.,2015-03-27
Filip Victor,"['Action', 'Adventure', 'Free to Play']",Free,"Filip Victor,Valve",2015-03-27
MangaGamer,['Adventure'],34.99,MOONSTONE,2015-03-27
Channel 4,"['Action', 'Adventure', 'Indie']",4.99,Lamplight Studios,2015-03-30
Channel 4,"['Action', 'Adventure', 'Indie']",11.99,Lamplight Studios,2015-03-30
Timedrop Studios,"['Action', 'Indie']",Free to Play,Timedrop Studios,2015-03-03
MAGIX Software GmbH,['Audio Production'],39.99,MAGIX Software GmbH,2015-03-30
"KOEI TECMO GAMES CO., LTD.",['Action'],24.99,"Team NINJA,KOEI TECMO GAMES CO., LTD.",2015-03-30
"KOEI TECMO GAMES CO., LTD.",['Action'],Free to Play,"Team NINJA,KOEI TECMO GAMES CO., LTD.",2015-03-30
"KOEI TECMO GAMES CO., LTD.",['Action'],54.99,"Team NINJA,KOEI TECMO GAMES CO., LTD.",2015-03-30
"KOEI TECMO GAMES CO., LTD.",['Action'],64.99,"Team NINJA,KOEI TECMO GAMES CO., LTD.",2015-03-30
Hyper Hippo Games,"['Casual', 'Free to Play', 'Indie']",Free to Play,Hyper Hippo Games,2015-03-30
Weird and Wry,"['Indie', 'RPG', 'Simulation']",9.99,Weird and Wry,2015-03-30
Fatshark,"['Action', 'Indie', 'Strategy']",9.99,"Toadman Interactive,Fatshark",2015-03-30
Fantasy Flight Games,['Strategy'],2.99,Fantasy Flight Games,2015-03-31
Michal Brzozowski,"['RPG', 'Strategy', 'Early Access']",14.99,Michal Brzozowski,2015-03-31
"Fantasy Flight Publishing, Inc.","['Indie', 'Strategy']",6.99,Fantasy Flight Games,2014-11-25
Dissident Logic,"['Action', 'Indie']",9.99,Dissident Logic,2015-03-31
Ubisoft,['Racing'],4.99,"RedLynx, in collaboration with  Ubisoft Shanghai, Ubisoft Kiev",2015-03-31
DistrictTeam,"['Action', 'Adventure', 'Indie', 'Early Access']",0.99,DistrictTeam,2017-12-10
THQ Nordic,"['Adventure', 'Casual', 'Indie']",9.99,House of Tales,2010-06-25
RunServer,"['Adventure', 'Indie']",1.99,RunServer,2015-04-01
FallenMaster,"['Action', 'Strategy']",2.99,FallenMaster,2015-03-30
Sometimes You,"['Adventure', 'Indie', 'Simulation']",0.99,Sometimes You,2015-04-01
Augusta Software GmbH,"['Adventure', 'Casual', 'Indie']",8.99,"Thomas Schreiter,Dirk Schreiter,Jörg Winterstein,Peer Draeger,Gereon Bartel",2015-04-01
Daniel Davies,"['Adventure', 'Casual', 'Indie', 'Simulation']",4.99,Daniel Davies,2015-04-01
Daniel Davies,"['Casual', 'Indie', 'Simulation']",2.99,"Conor Strejcek,Daniel Davies",2015-04-01
"The Fighter Collection, Eagle Dynamics SA",['Simulation'],39.99,VEAO Simulations,2015-04-01
"Retroism, Nightdive Studios","['Simulation', 'Strategy']",6.99,"MicroProse Software, Inc",1994-01-01
"Retroism, Nightdive Studios","['Adventure', 'RPG']",6.99,"MicroProse Software, Inc",1992-01-01
Devolver Digital,"['Action', 'Adventure', 'Indie']",2.99,Croteam,2015-04-01
"Retroism, Nightdive Studios",['Simulation'],6.99,"MicroProse Software, Inc",1988-01-01
Joycity,"['Action', 'Casual', 'Free to Play', 'Massively Multiplayer', 'Sports']",Free to Play,Joycity,2015-04-01
reMaginarium,"['Casual', 'Indie', 'Strategy']",2.99,reMaginarium,2015-09-06
b-alive gmbh,"['Casual', 'Indie', 'Simulation', 'Strategy']",6.99,b-alive gmbh,2003-05-01
b-alive gmbh,"['Casual', 'Indie', 'Simulation', 'Strategy']",5.99,b-alive gmbh,2015-04-01
"Nightdive Studios, Retroism","['Adventure', 'RPG', 'Simulation', 'Strategy']",6.99,"MicroProse Software, Inc",1991-01-01
"BANDAI NAMCO Entertainment, FromSoftware, Inc","['Action', 'RPG']",39.99,"FromSoftware, Inc",2015-04-01
"Nightdive Studios, Retroism","['Action', 'Simulation']",6.99,"MicroProse Software, Inc",1990-01-01
Prexen Studios,"['Action', 'Indie']",7.99,Prexen Studios,2015-04-01
Brightrock Games,"['Indie', 'Strategy']",9.99,Brightrock Games,2015-04-02
Dovetail Games - Trains,['Simulation'],19.99,Dovetail Games,2015-04-02
Astrosimer,"['Adventure', 'Indie', 'Simulation']",1.99,Astrosimer,2015-04-02
Cosmic Logic,"['Adventure', 'Indie']",1.99,Cosmic Logic,2015-04-02
Focus Home Interactive,['Simulation'],9.99,Giants Software,2015-04-02
Brightrock Games,"['Indie', 'Strategy']",29.99,Brightrock Games,2015-04-02
"Digital Tribe, iNDEE SOLO",['Indie'],1.99,Michael Lückgen,2015-04-02
Pepi Games,"['Casual', 'Indie', 'Simulation', 'Strategy']",4.99,Pepi Games,2015-04-02
Vostok Games,"['Action', 'Free to Play', 'Massively Multiplayer', 'RPG', 'Early Access']",Free to Play,Vostok Games,2015-04-02
Daybreak Game Company,"['Action', 'Adventure', 'Free to Play', 'Massively Multiplayer', 'RPG']",14.99,Daybreak Game Company,2015-04-02
Daybreak Game Company,"['Action', 'Adventure', 'Free to Play', 'Massively Multiplayer', 'RPG']",14.99,Daybreak Game Company,2015-04-02
Vostok Games,"['Action', 'Free to Play', 'Massively Multiplayer', 'RPG']",9.99,Vostok Games,2015-04-02
Vostok Games,"['Action', 'Free to Play', 'Massively Multiplayer', 'RPG']",19.99,Vostok Games,2015-04-02
Deck13,"['Adventure', 'Casual', 'Indie']",5.99,Rumpus,2015-04-02
Ars Creativa,"['Action', 'Casual', 'Indie']",0.99,Ars Creativa,2015-04-02
EQ Games,"['Action', 'Adventure', 'Indie']",1.99,OBLONE Software,2015-04-02
Choice Provisions,['RPG'],9.99,Muteki,2015-04-09
THQ Nordic,"['Adventure', 'Indie']",14.99,House of Tales,2008-04-07
"Escape Hatch Entertainment, LLC","['Action', 'Indie', 'Strategy']",9.99,"Escape Hatch Entertainment,LLC",2015-04-07
Flying Interactive,"['Action', 'Adventure', 'Indie']",2.99,earrgames,2015-01-30
Aldorlea Games,"['Adventure', 'Casual', 'Indie', 'RPG']",2.99,Aldorlea Games,2015-05-29
"KOEI TECMO GAMES CO., LTD.",['Action'],64.99,"Team NINJA,KOEI TECMO GAMES CO., LTD.",2015-04-07
"KOEI TECMO GAMES CO., LTD.",['Action'],74.99,"Team NINJA,KOEI TECMO GAMES CO., LTD.",2015-04-07
HE SAW,['Action'],12.99,HE SAW,2015-04-08
Bohemia Interactive,"['Action', 'Simulation', 'Strategy']",11.99,Bohemia Interactive,2015-04-08
Aldorlea Games,"['Adventure', 'Casual', 'Indie', 'RPG']",3.99,Aldorlea Games,2010-10-31
Dovetail Games - Livery,['Simulation'],4.99,Dovetail Games,2015-04-09
Windmill Games,"['Action', 'Casual', 'Indie', 'Strategy']",4.99,Windmill Games,2015-04-09
1C Company,['Strategy'],4.99,Dark Fox,2005-06-17
Dovetail Games - Trains,['Simulation'],19.99,Dovetail Games,2015-04-09
Roope Tamminen,['Indie'],9.99,Roope Tamminen,2015-03-25
SpookyFish Games,"['Action', 'Indie']",2.99,SpookyFish Games,2015-04-09
SEGA,"['Free to Play', 'Strategy']",Free to Play,Creative Assembly,2016-03-24
Alda Games,"['Action', 'Casual', 'Indie', 'Strategy']",4.99,Alda Games,2015-04-10
Daedalic Entertainment,"['Adventure', 'Indie']",19.99,Fictiorama Studios,2015-04-10
Fungameco Ltd,"['Adventure', 'Indie', 'RPG', 'Simulation', 'Strategy']",5.99,Fungameco Ltd,2015-04-10
Choice of Games,"['Indie', 'RPG']",4.99,Choice of Games,2015-04-10
Heart Shaped Games LLC,"['Indie', 'RPG', 'Simulation', 'Strategy']",5.99,Heart Shaped Games LLC,2015-04-10
Winter Wolves,"['Casual', 'Indie']",9.99,Winter Wolves,2011-02-14
Pixel Theory Games,"['Action', 'Indie']",0.99,Pixel Theory Games,2015-04-10
Merge Games,"['Action', 'Adventure', 'Indie']",14.99,Z4G0 and Ivan Venturi Productions,2015-04-10
Degica,['Video Production'],79.99,muvee Technologies,2015-04-10
Alawar Entertainment,['Casual'],0.99,Alawar Dreamdale,2013-11-15
Donut Games,"['Action', 'Adventure', 'Casual', 'Indie']",4.99,Donut Games,2015-04-16
Dovetail Games - Trains,['Simulation'],19.99,Dovetail Games,2015-04-16
Next Dimension Game Adventures,"['Action', 'Adventure', 'Indie', 'RPG']",1.99,Steel Monkeys,2015-04-16
Ghostlight LTD,"['Adventure', 'RPG', 'Strategy']",9.99,Idea Factory,2015-04-16
Microsoft Studios,['Action'],2.99,"343 Industries,Vanguard Games",2014-12-12
Owl Cave,"['Adventure', 'Indie']",5.99,Owl Cave,2015-04-16
Owl Cave,"['Adventure', 'Indie']",7.99,Owl Cave,2015-04-16
Kalypso Media Digital,"['RPG', 'Simulation', 'Strategy']",3.99,Haemimont Games,2015-04-16
Adult Swim Games,"['Action', 'Adventure', 'Indie']",14.99,Ostrich Banditos,2015-04-16
Sinister Design,"['Indie', 'RPG', 'Strategy']",14.99,Sinister Design,2015-04-16
Rosebud Games,"['Adventure', 'Indie']",4.99,Rosebud Games,2015-04-16
Casualogic,"['Action', 'Casual', 'Indie']",2.99,Casiualogic,2015-04-20
Insomniac Games,"['Action', 'Casual', 'Indie']",1.99,Insomniac Games,2015-04-20
AndrewDrumov,"['Action', 'Adventure', 'Casual', 'Indie', 'Simulation']",4.99,"AndrewDrumov, Sanke Berdochan",2015-04-20
Stephane Bottin,"['Free to Play', 'Indie', 'Strategy']",Free to Play,Stephane Bottin,2015-04-20
Jeff Trier,"['Free to Play', 'Indie', 'RPG', 'Strategy']",Free to Play,Jeff Trier,2015-04-20
Bethesda Softworks,['Action'],4.99,Tango Gameworks,2015-04-20
Dagestan Technology,"['Action', 'Adventure', 'Indie']",6.99,Dagestan Technology,2015-04-20
Burrito Studio,"['Indie', 'RPG', 'Strategy']",4.99,Burrito Studio,2015-04-21
Indietopia Games,"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']",14.99,Convoy Games,2015-04-21
Dovetail Games - Flight,['Simulation'],24.99,Carenado,2015-04-21
Dustin Gunn,"['Action', 'Adventure', 'Indie']",3.99,Dustin Gunn,2014-05-13
Slitherine Ltd.,['Strategy'],4.99,"Flashback Games,The Lordz Games Studio",2015-04-21
Nimble Tools,"['Design &amp; Illustration', 'Utilities', 'Web Publishing']",9.99,Nimble Tools,2015-04-21
TreeFortress Games,"['Action', 'Adventure', 'Indie', 'Racing']",9.99,TreeFortress Games,2015-04-21
Supreme Clans Entertainment,"['Adventure', 'Indie', 'RPG']",9.99,Supreme Clans Entertainment,2015-04-21
Supreme Clans Entertainment,"['Adventure', 'Indie', 'RPG']",4.99,Supreme Clans Entertainment,2015-04-21
rondomedia GmbH,['Simulation'],14.99,LinkSolutions Ltd.,2015-04-22
Dovetail Games - Trains,['Simulation'],19.99,Skyhook Games,2015-04-22
Strategy First,"['Action', 'Casual', 'Indie']",4.99,Carlo D'Apostoli Projects,2015-04-22
Dovetail Games,['Simulation'],4.99,Skyhook Games,2015-04-22
Microsoft Game Studios,"['Action', 'Casual']",9.99,Press Play,2015-04-22
Microsoft Game Studios,"['Action', 'Casual']",3.99,Press Play,2015-04-22
Microsoft Game Studios,"['Action', 'Casual']",3.99,Press Play,2015-04-22
Polar Bunny Ltd,"['Adventure', 'Indie', 'Strategy']",4.99,Polar Bunny Ltd,2015-04-22
"Pipeteam Games, LLC","['Action', 'Indie']",4.99,"Michael J. Moffitt,Julian J. Hammerstein",2015-04-22
Magic Notion,"['Casual', 'Indie', 'Simulation']",9.99,Magic Notion,2015-04-22
Bytebin,"['Action', 'Adventure', 'Casual', 'Free to Play', 'Indie', 'Massively Multiplayer', 'RPG', 'Early Access']",Free to Play,Bytebin,2015-04-22
Pyrodactyl,"['Action', 'Indie', 'RPG']",5.99,Pyrodactyl,2015-04-22
Hempuli Oy,"['Action', 'Adventure', 'Indie']",7.99,"Arvi Teikari,Roope Mäkinen",2015-04-22
Surprise Attack,"['Action', 'Indie']",5.99,Hammerspace Games,2015-04-22
Morphodox Studios,"['Indie', 'Early Access']",9.99,Morphodox Studios,2015-04-19
White Cat,"['Adventure', 'Indie', 'Simulation']",15.99,White Cat,2013-08-17
Thomas Gwaltney,['Indie'],1.99,Thomas Gwaltney,2015-04-23
Eat Create Sleep,"['Casual', 'Indie', 'Simulation', 'Strategy', 'Early Access']",10.99,Eat Create Sleep,2015-04-23
Artifex Mundi,"['Adventure', 'Casual']",9.99,World-Loom,2015-04-23
"Brace Yourself Games, Klei Entertainment","['Action', 'Indie', 'RPG']",14.99,Brace Yourself Games,2015-04-23
Buka Entertainment,"['Action', 'Simulation']",3.99,G5 Software,2004-02-05
CDP,"['Action', 'Adventure', 'Indie', 'RPG']",9.99,"Daniel Linssen,Detective,Ditto,Glitchnap,Shark Jump Studios",2015-04-23
Blaze Epic,"['Action', 'Adventure', 'Indie']",0.99,Blaze Epic,2015-04-27
On The Level Game Studios,"['Action', 'Adventure', 'Indie']",0.99,On The Level Game Studios,2015-04-23
Pepi Games,"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']",1.99,Pepi Games,2015-04-24
Impartial Studios,"['Action', 'Casual', 'Indie']",0.99,Jake Olson,2015-04-23
Blender Foundation,"['Animation &amp; Modeling', 'Design &amp; Illustration', 'Video Production']",Free,Blender Foundation,2015-07-03
Kalypso Media Digital,"['RPG', 'Simulation', 'Strategy']",19.99,Realmforge Studios,2015-04-24
Thylacine Studios LLC,"['Indie', 'RPG']",9.99,Thylacine Studios,2015-04-24
DreamsSoftGames,"['Action', 'Casual', 'Indie']",3.99,DreamsSoftGames,2015-04-24
Degica,"['Design &amp; Illustration', 'Web Publishing']",19.99,KADOKAWA,2015-04-24
"Humongous Entertainment, Nightdive Studios",['Casual'],6.99,Humongous Entertainment,1995-01-01
"Humongous Entertainment, Nightdive Studios",['Casual'],6.99,Humongous Entertainment,1995-01-01
"Humongous Entertainment, Nightdive Studios",['Casual'],6.99,Humongous Entertainment,1995-01-01
IPBuilders,"['Adventure', 'Indie']",4.99,Games With Dragons In,2015-04-24
Puuba,"['Action', 'Indie', 'RPG']",4.99,"Puuba,Christopher Hoag",2015-04-29
Virtual Racing Industries Ltd.,"['Action', 'Casual', 'Indie', 'Racing', 'Simulation', 'Sports']",9.99,Virtual Racing Industries Ltd.,2015-04-28
Virtual Racing Industries Ltd.,"['Action', 'Casual', 'Indie', 'Racing', 'Simulation', 'Sports']",9.99,Virtual Racing Industries Ltd.,2015-04-28
Virtual Racing Industries Ltd.,"['Action', 'Casual', 'Indie', 'Racing', 'Simulation', 'Sports']",9.99,Virtual Racing Industries Ltd.,2015-04-28
"XSEED Games, Marvelous USA, Inc.","['Action', 'Adventure', 'RPG']",19.99,Nihon Falcom,2015-04-28
Three Flip Studios,"['Indie', 'Simulation', 'Strategy']",4.99,Rob Howland,2015-04-28
Virtual Racing Industries Ltd.,"['Action', 'Casual', 'Indie', 'Racing', 'Simulation', 'Sports']",9.99,Virtual Racing Industries Ltd.,2015-04-28
Tigerish Games,"['Casual', 'Free to Play']",Free to Play,Tigerish Games,2015-04-28
THQ Nordic,"['Indie', 'Massively Multiplayer', 'RPG', 'Strategy']",19.99,"Cliffhanger Productions,Catalyst Games Lab",2015-04-28
Dangerous Derk Interactive,"['Simulation', 'Sports', 'Early Access']",12.99,Dangerous Derk Interactive,2015-04-28
Dagestan Technology,"['Action', 'Adventure', 'Indie']",3.99,Dagestan Technology,2015-04-28
John Wizard,"['Indie', 'RPG', 'Strategy']",4.99,John Wizard,2015-04-28
Dovetail Games - Flight,['Simulation'],24.99,Carenado,2015-04-29
Home Groan Games,"['Action', 'Adventure', 'Indie']",5.99,Home Groan Games,2013-05-31
Vectorpark,"['Casual', 'Indie']",4.99,Vectorpark,2015-04-29
Degica,"['Casual', 'Indie', 'RPG']",1.99,Team Isolation,2015-05-01
Only Human Studios,"['Action', 'Indie']",0.99,Only Human Studios,2015-05-01
CS Squared Games,"['Action', 'Adventure', 'Indie']",4.99,"CS Squared Games,Among Giants",2015-05-01
REEW GAMES,"['Action', 'Adventure', 'Indie', 'Simulation']",4.99,REEW GAMES,2015-05-01
Choice of Games,"['Indie', 'RPG']",5.99,Choice of Games,2015-05-01
Surprise Attack,"['Action', 'Indie']",9.99,Samurai Punk,2015-05-01
Degica,"['Design &amp; Illustration', 'Web Publishing']",14.99,Bittersweet Entertainment,2015-05-01
Degica,"['Design &amp; Illustration', 'Web Publishing']",7.99,Tyler Warren,2015-05-01
Degica,"['Design &amp; Illustration', 'Web Publishing']",9.99,Sherman3D,2015-05-01
Degica,"['Design &amp; Illustration', 'Web Publishing']",29.99,PVGames,2015-05-01
Degica,"['Design &amp; Illustration', 'Web Publishing']",9.99,Joel Steudler,2015-05-01
Apogee Software,['Action'],4.99,JAM Productions,1994-10-28
Apogee Software,['Action'],4.99,JAM Productions,1993-12-03
En Masse Entertainment,"['Action', 'Adventure', 'Free to Play', 'Massively Multiplayer', 'RPG']",Free to Play,"Bluehole, Inc.",2015-05-05
nornware AB,"['Action', 'Indie']",4.99,nornware AB,2015-05-05
En Masse Entertainment,"['Action', 'Adventure', 'Free to Play', 'Massively Multiplayer', 'RPG']",9.99,"Bluehole Studio,En Masse Entertainment",2015-05-05
En Masse Entertainment,"['Action', 'Adventure', 'Free to Play', 'Massively Multiplayer', 'RPG']",19.99,"Bluehole Studio,En Masse Entertainment",2015-05-05
En Masse Entertainment,"['Action', 'Adventure', 'Free to Play', 'Massively Multiplayer', 'RPG']",14.99,"Bluehole Studio,En Masse Entertainment",2015-05-05
En Masse Entertainment,"['Action', 'Adventure', 'Free to Play', 'Massively Multiplayer', 'RPG']",59.99,"Bluehole Studio,En Masse Entertainment",2015-05-05
Digital Entertainment,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG', 'Simulation', 'Strategy']",1.99,Digital Entertainment,2015-05-05
devFluid,"['Action', 'Casual']",1.99,devFluid,2014-05-26
Basecamp Games,"['Adventure', 'Indie']",4.99,Basecamp Games,2015-05-06
Basecamp Games,"['Adventure', 'Indie']",7.99,Basecamp Games,2015-04-30
David Szymanski,"['Adventure', 'Indie']",4.99,David Szymanski,2015-05-06
Carpe Fulgur LLC,"['Indie', 'Simulation']",9.99,CAVYHOUSE,2015-06-01
SCS Software,"['Indie', 'Simulation']",1.99,SCS Software,2015-05-06
Vysoko Anime Production,['Adventure'],5.99,"Jeroen van Oosten,Milan Kazarka",2015-09-24
Surprise Attack,"['Indie', 'Sports']",9.99,Kinelco &amp; Lone Elk Creative,2014-03-07
Interplay Entertainment Corp.,"['Action', 'Adventure', 'Simulation']",9.99,Interplay Entertainment Corp.,2015-05-08
Interplay Entertainment Corp.,"['Action', 'Adventure', 'Simulation']",9.99,Interplay Entertainment Corp.,2015-05-08
